"reading_timestamp","reading_date","reading_month","reading_year","reading_hour","day_name","month_name","actual_power_kw","wind_speed","theoretical_power_kw","wind_direction","power_loss_kw","effeciency_percentage","wind_category","performance_status","wind_speed_bin"
"2018-01-01 00:00:00","2018-01-01",1,2018,0,Monday,January,380.05,5.31,416.33,259.99,36.28,91.29,Optimal Wind,Normal,"3-6"
"2018-01-01 00:10:00","2018-01-01",1,2018,0,Monday,January,453.77,5.67,519.92,268.64,66.15,87.28,Optimal Wind,Normal,"3-6"
"2018-01-01 00:20:00","2018-01-01",1,2018,0,Monday,January,306.38,5.22,390.90,272.56,84.52,78.38,Optimal Wind,Normal,"3-6"
"2018-01-01 00:30:00","2018-01-01",1,2018,0,Monday,January,419.65,5.66,516.13,271.26,96.48,81.31,Optimal Wind,Normal,"3-6"
"2018-01-01 00:40:00","2018-01-01",1,2018,0,Monday,January,380.65,5.58,491.70,265.67,111.05,77.42,Optimal Wind,Normal,"3-6"
"2018-01-01 00:50:00","2018-01-01",1,2018,0,Monday,January,402.39,5.60,499.44,264.58,97.05,80.57,Optimal Wind,Normal,"3-6"
"2018-01-01 01:00:00","2018-01-01",1,2018,1,Monday,January,447.61,5.79,557.37,266.16,109.76,80.31,Optimal Wind,Normal,"3-6"
"2018-01-01 01:10:00","2018-01-01",1,2018,1,Monday,January,387.24,5.31,414.90,257.95,27.66,93.33,Optimal Wind,Normal,"3-6"
"2018-01-01 01:20:00","2018-01-01",1,2018,1,Monday,January,463.65,5.58,493.68,253.48,30.03,93.92,Optimal Wind,Normal,"3-6"
"2018-01-01 01:30:00","2018-01-01",1,2018,1,Monday,January,439.73,5.52,475.71,258.72,35.98,92.44,Optimal Wind,Normal,"3-6"
"2018-01-01 01:40:00","2018-01-01",1,2018,1,Monday,January,498.18,5.72,535.84,251.85,37.66,92.97,Optimal Wind,Normal,"3-6"
"2018-01-01 01:50:00","2018-01-01",1,2018,1,Monday,January,526.82,5.93,603.01,265.50,76.19,87.37,Optimal Wind,Normal,"3-6"
"2018-01-01 02:00:00","2018-01-01",1,2018,2,Monday,January,710.59,6.55,824.66,274.23,114.07,86.17,Optimal Wind,Normal,"6-9"
"2018-01-01 02:10:00","2018-01-01",1,2018,2,Monday,January,655.19,6.20,693.47,266.73,38.28,94.48,Optimal Wind,Normal,"6-9"
"2018-01-01 02:20:00","2018-01-01",1,2018,2,Monday,January,754.76,6.51,808.10,266.76,53.34,93.40,Optimal Wind,Normal,"6-9"
"2018-01-01 02:30:00","2018-01-01",1,2018,2,Monday,January,790.17,6.63,859.46,270.49,69.29,91.94,Optimal Wind,Normal,"6-9"
"2018-01-01 02:40:00","2018-01-01",1,2018,2,Monday,January,742.99,6.38,759.43,266.59,16.44,97.84,Optimal Wind,Normal,"6-9"
"2018-01-01 02:50:00","2018-01-01",1,2018,2,Monday,January,748.23,6.45,785.28,265.57,37.05,95.28,Optimal Wind,Normal,"6-9"
"2018-01-01 03:00:00","2018-01-01",1,2018,3,Monday,January,736.65,6.42,773.17,261.16,36.52,95.28,Optimal Wind,Normal,"6-9"
"2018-01-01 03:10:00","2018-01-01",1,2018,3,Monday,January,787.25,6.44,781.77,257.56,-5.48,100.70,Optimal Wind,Normal,"6-9"
"2018-01-01 03:20:00","2018-01-01",1,2018,3,Monday,January,722.86,6.22,700.76,255.93,-22.10,103.15,Optimal Wind,Normal,"6-9"
"2018-01-01 03:30:00","2018-01-01",1,2018,3,Monday,January,935.03,6.90,970.74,250.01,35.71,96.32,Optimal Wind,Normal,"6-9"
"2018-01-01 03:40:00","2018-01-01",1,2018,3,Monday,January,1220.61,7.61,1315.05,255.99,94.44,92.82,Optimal Wind,Normal,"6-9"
"2018-01-01 03:50:00","2018-01-01",1,2018,3,Monday,January,1053.77,7.29,1151.27,255.44,97.50,91.53,Optimal Wind,Normal,"6-9"
"2018-01-01 04:00:00","2018-01-01",1,2018,4,Monday,January,1493.81,7.94,1497.58,256.41,3.77,99.75,Optimal Wind,Normal,"6-9"
"2018-01-01 04:10:00","2018-01-01",1,2018,4,Monday,January,1724.49,8.38,1752.20,252.41,27.71,98.42,Optimal Wind,Normal,"6-9"
"2018-01-01 04:20:00","2018-01-01",1,2018,4,Monday,January,1636.94,8.24,1668.47,247.98,31.53,98.11,Optimal Wind,Normal,"6-9"
"2018-01-01 04:30:00","2018-01-01",1,2018,4,Monday,January,1385.49,7.88,1461.82,238.61,76.33,94.78,Optimal Wind,Normal,"6-9"
"2018-01-01 04:40:00","2018-01-01",1,2018,4,Monday,January,1098.93,7.10,1062.29,245.10,-36.64,103.45,Optimal Wind,Normal,"6-9"
"2018-01-01 04:50:00","2018-01-01",1,2018,4,Monday,January,1021.46,6.96,996.00,245.41,-25.46,102.56,Optimal Wind,Normal,"6-9"
"2018-01-01 05:00:00","2018-01-01",1,2018,5,Monday,January,1164.89,7.10,1060.86,235.23,-104.03,109.81,Optimal Wind,Normal,"6-9"
"2018-01-01 05:10:00","2018-01-01",1,2018,5,Monday,January,1073.33,6.95,995.25,242.87,-78.08,107.85,Optimal Wind,Normal,"6-9"
"2018-01-01 05:20:00","2018-01-01",1,2018,5,Monday,January,1165.31,7.25,1132.42,244.84,-32.89,102.90,Optimal Wind,Normal,"6-9"
"2018-01-01 05:30:00","2018-01-01",1,2018,5,Monday,January,1177.99,7.29,1154.37,242.48,-23.62,102.05,Optimal Wind,Normal,"6-9"
"2018-01-01 05:40:00","2018-01-01",1,2018,5,Monday,January,1170.54,7.38,1194.84,247.98,24.30,97.97,Optimal Wind,Normal,"6-9"
"2018-01-01 05:50:00","2018-01-01",1,2018,5,Monday,January,1145.54,7.45,1231.43,249.68,85.89,93.03,Optimal Wind,Normal,"6-9"
"2018-01-01 06:00:00","2018-01-01",1,2018,6,Monday,January,1114.03,7.24,1127.43,248.40,13.40,98.81,Optimal Wind,Normal,"6-9"
"2018-01-01 06:10:00","2018-01-01",1,2018,6,Monday,January,1153.19,7.33,1171.36,244.62,18.17,98.45,Optimal Wind,Normal,"6-9"
"2018-01-01 06:20:00","2018-01-01",1,2018,6,Monday,January,1125.33,7.14,1080.14,244.63,-45.19,104.18,Optimal Wind,Normal,"6-9"
"2018-01-01 06:30:00","2018-01-01",1,2018,6,Monday,January,1228.73,7.47,1244.63,245.79,15.90,98.72,Optimal Wind,Normal,"6-9"
"2018-01-01 06:40:00","2018-01-01",1,2018,6,Monday,January,1021.79,7.03,1030.99,248.65,9.20,99.11,Optimal Wind,Normal,"6-9"
"2018-01-01 06:50:00","2018-01-01",1,2018,6,Monday,January,957.38,6.89,965.68,244.61,8.30,99.14,Optimal Wind,Normal,"6-9"
"2018-01-01 07:00:00","2018-01-01",1,2018,7,Monday,January,909.89,6.89,966.28,235.85,56.39,94.16,Optimal Wind,Normal,"6-9"
"2018-01-01 07:10:00","2018-01-01",1,2018,7,Monday,January,1000.95,7.22,1116.47,232.84,115.52,89.65,Optimal Wind,Normal,"6-9"
"2018-01-01 07:20:00","2018-01-01",1,2018,7,Monday,January,1024.48,7.07,1047.17,229.93,22.69,97.83,Optimal Wind,Normal,"6-9"
"2018-01-01 07:30:00","2018-01-01",1,2018,7,Monday,January,1009.53,6.94,988.45,230.14,-21.08,102.13,Optimal Wind,Normal,"6-9"
"2018-01-01 07:40:00","2018-01-01",1,2018,7,Monday,January,899.49,6.54,820.42,234.93,-79.07,109.64,Optimal Wind,Normal,"6-9"
"2018-01-01 07:50:00","2018-01-01",1,2018,7,Monday,January,725.11,6.18,686.64,232.84,-38.47,105.60,Optimal Wind,Normal,"6-9"
"2018-01-01 08:00:00","2018-01-01",1,2018,8,Monday,January,585.26,5.82,564.93,240.33,-20.33,103.60,Optimal Wind,Normal,"3-6"
"2018-01-01 08:10:00","2018-01-01",1,2018,8,Monday,January,443.91,5.45,454.77,238.13,10.86,97.61,Optimal Wind,Normal,"3-6"
"2018-01-01 08:20:00","2018-01-01",1,2018,8,Monday,January,565.25,5.82,565.35,235.80,0.10,99.98,Optimal Wind,Normal,"3-6"
"2018-01-01 08:30:00","2018-01-01",1,2018,8,Monday,January,644.04,6.13,668.82,224.96,24.78,96.30,Optimal Wind,Normal,"6-9"
