"reading_month","month_name","reading_year","total_actual_power","total_theoretical_power","total_power_loss","average_wind_speed","average_effeciency"
1,January,2018,5050497.17,7051015.89,2000518.72,8.562959,70.097769
2,February,2018,6061534.57,6905298.44,843763.87,8.643638,82.824247
3,March,2018,8713587.43,9264383.84,550796.41,9.737635,86.098081
4,April,2018,3548864.22,4114208.86,565344.64,5.853421,73.780432
5,May,2018,3723555.35,4271945.70,548390.35,5.859692,79.006278
6,June,2018,4225858.00,4836271.32,610413.32,6.344653,81.039614
7,July,2018,2129392.53,2605659.32,476266.79,4.953942,74.245986
8,August,2018,8753485.68,9826062.71,1072577.03,9.339885,86.941168
9,September,2018,5717939.77,6213244.02,495304.25,7.590428,85.228474
10,October,2018,5749986.61,6264078.40,514091.79,7.539449,88.790226
11,November,2018,7169436.79,7714105.07,544668.28,9.373863,91.819569
12,December,2018,5233170.20,6332770.42,1099600.22,7.367001,69.997695
